Name,Category,Subcategory,Platforms,Function,Radio Interaction,License,Notes
Morse Expert,CW / RTTY skimmer & keyer,CW decoder/keyer,Windows / Android,"Probabilistic (Bayesian) CW decoder that copies hand-sent and machine CW to text, tolerant of imperfect timing.",Takes receiver audio via sound card (Windows) or microphone/audio (Android).,Free,By VE3NEA (same author as CW Skimmer). Receive-decode only.
MRP40,CW / RTTY skimmer & keyer,CW decoder/keyer,Windows,"Sound-card Morse decoder that copies received CW to text and transmits CW from the keyboard, with a mini-logbook.",Sound-card audio in for decode; CW keying and PTT via serial/USB (or sound-card side-tone).,Commercial,By Polar-Electric (polar-electric.com). Shareware; also usable through SDR rigs like FlexRadio.
PocketDigi,CW / RTTY skimmer & keyer,Multimode (CW/RTTY/PSK),Windows Mobile / PocketPC,"Handheld multimode modem for PSK31, RTTY, CW, MFSK and Hell on early PDAs.",PDA sound in/out to the radio; PTT via serial.,Free,By Vojtech Bubnik OK1IAK. Legacy PocketPC-era software still cited for portable digimode use.
PSKer,CW / RTTY skimmer & keyer,PSK31 / RTTY (iOS/Mac),iOS / macOS,"Live BPSK31 and RTTY45 modem with tune, transmit and log",Device microphone/sound-card audio in; transmit via speaker/audio out (VOX) or wired,Commercial (App Store),"By KE7SCH; universal iPhone/iPad build, no extra hardware needed"
RBN Aggregator,CW / RTTY skimmer & keyer,CW/RTTY skimmer,Windows,Collects decoded spots from one or more CW/RTTY Skimmer or Skimmer Server telnet ports and uploads them to the Reverse Beacon Network.,Reads Skimmer telnet output (which is itself decoding a radio/SDR) and relays to RBN; can re-serve a local telnet feed.,Free,Reverse Beacon Network project. Required to become an RBN node; end of the skimming chain rather than direct radio contact.
RiTTY,CW / RTTY skimmer & keyer,RTTY decoder/engine,Windows,"High-performance sound-card RTTY decoder (v4.5) tuned for weak-signal copy, frequently benchmarked against 2Tone/GRITTY/MMTTY.",Sound-card audio from the receiver.,Commercial,By Brian Beezley K6STI. Modern Windows successor to his classic DOS RITTY.
RITTY (DOS),CW / RTTY skimmer & keyer,RTTY decoder/engine,DOS,Early DSP sound-card RTTY program for DOS; historically important weak-signal RTTY decoder.,Sound-card audio in; serial/parallel FSK/PTT keying.,Commercial,K6STI. Legacy but still referenced; predecessor of the Windows RiTTY.
RST Decoder / RST Decoder Pro,CW / RTTY skimmer & keyer,CW decoder/keyer,iOS,Simple Morse decoder that copies CW picked up by the phone to text; Pro adds features.,Microphone audio from a receiver.,Commercial,Free base app plus a paid Pro version on the App Store.
RTTY Skimmer Server,CW / RTTY skimmer & keyer,CW/RTTY skimmer,Windows,Wideband multi-channel RTTY decoder that skims all RTTY signals across whole bands and posts spots to telnet/RBN.,Wideband SDR I/Q input; telnet spot output.,Commercial,VE3NEA / Afreet. Very CPU-intensive (far more than CW Skimmer). Powers RBN RTTY spotting.
THROB / THROBX,CW / RTTY skimmer & keyer,CW/RTTY skimmer (MFSK keyboard mode),Windows,Transmit/receive the THROB and THROBX MFSK-style keyboard chat modes,audio (sound card) + PTT (VOX/serial),Free,Lionel Sear G3PPT; early soundcard digital-mode program still supported inside MultiPSK/fldigi
TrueTTY,CW / RTTY skimmer & keyer,RTTY decoder/engine,Windows,"Sound-card terminal for RTTY plus PSK31/63, AMTOR/FEC, MFSK, Throb and packet.",Sound-card audio in/out; PTT and FSK keying via COM; CAT tuning.,Commercial,"By Sergei Podstrigailo UA9OSV, DXSoft (dxsoft.com). Shareware."
winkeydaemon,CW / RTTY skimmer & keyer,CW keyer host / WinKeyer,Linux,cwdaemon-compatible driver that lets Linux loggers key CW through a K1EL WinKeyer.,Sends WinKeyer serial commands so the WinKeyer keys CW/PTT to the transceiver.,Open-source,By Nate Bargmann N0NB. Bridges tlf/CQRLOG to real WinKeyer hardware.
WinWarbler,CW / RTTY skimmer & keyer,Multimode (CW/RTTY/PSK),Windows,"Sound-card operating program for PSK31/63/125, RTTY and CW with a voice keyer and QSO logging integration.",Sound-card audio in/out; RTTY via MMTTY engine (AFSK or FSK); PTT/CW keying via COM; CAT through DXLab Commander.,Free,"By Dave Bernstein AA6YQ, part of the DXLab Suite (interoperates with Commander/DXKeeper/SpotCollector)."
Zakanaka,CW / RTTY skimmer & keyer,Multimode (CW/RTTY/PSK),Windows,"Free multimode operating program (PSK, RTTY, CW) with rig control and a logging bridge.",Sound-card audio in/out; CAT rig control; PTT via COM.,Free,Legacy sound-card multimode utility; used with external logging programs.
acarsdec,Data modes (ALE/MARS/marine/aero),SDR (aircraft ACARS decoder),Linux / Windows,Multi-channel VHF ACARS decoder,SDR (RTL-SDR/Airspy/SDRplay/SoapySDR) or audio,Open-source,JSON output; common utility-monitoring decoder in the same class as dump1090/DSD+
AIS-catcher,Data modes (ALE/MARS/marine/aero),SDR (marine AIS),Windows / macOS / Linux / Raspberry Pi / Android,Dual-band AIS receiver with multiple decoding models and built-in web UI,SDR (RTL-SDR/Airspy/HackRF),Open-source (MIT),NMEA out over UDP/HTTP/TCP; marine counterpart to the listed SeaTTY/NAVTEX tools
ARDOP (ardopc / ardopcf),Data modes (ALE/MARS/marine/aero),HF data modem,Windows / macOS / Linux / Raspberry Pi,Open-source Amateur Radio Digital Open Protocol sound-card HF modem / virtual TNC used by Winlink and Pat,"Sound-card audio in/out; PTT via CAT/rigctl, serial RTS/DTR, or GPIO",Open-source / Free,Successor concept to WINMOR; bundled with Winlink Express and supported natively by Pat.
DroidPSK,Data modes (ALE/MARS/marine/aero),HF data (mobile),Android,Encode/decode PSK31 (and BPSK/QPSK variants) on a phone or tablet,Sound-card audio via mic/speaker or a WolphiLink interface; PTT via VOX/interface,Commercial (paid app),By Wolphi; part of the Wolphi Droid* mobile digital-modes suite.
DSCdecoder,Data modes (ALE/MARS/marine/aero),Marine data decoder (DSC),Windows,Commercial DSC decoder for MF/HF/VHF Digital Selective Calling signals,Sound-card audio in from the receiver,Commercial,By COAA; paired product line with NAVTEX/weatherfax decoders.
dumphfdl,Data modes (ALE/MARS/marine/aero),SDR (aircraft HFDL decoder),Linux,Multichannel HF Data Link decoder (ACARS/ADS-C/CPDLC over HF),SDR; can slave tuning to a receiver,Open-source,"szpajder; modern SDR HFDL decoder, distinct from the listed PC-HFDL"
dumpvdl2,Data modes (ALE/MARS/marine/aero),SDR (aircraft VDL2 decoder),Linux / Windows,VDL Mode 2 message decoder and protocol analyzer,SDR (RTL/Airspy/SoapySDR),Open-source,szpajder; successor to vdlm2dec
gnuais / gnuaisgui,Data modes (ALE/MARS/marine/aero),SDR (marine AIS),Linux,Decode AIS from sound card or SDR,audio (sound card) or SDR,Open-source,
ION2G (Ion2G),Data modes (ALE/MARS/marine/aero),ALE (Automatic Link Establishment),Windows,"Modern ALE 2G/4G controller plus MIL-STD-188-110 serial-tone modem and STANAG-5066 data; aimed at hams, MARS and SHARES","CAT rig control for scanning/tuning, sound-card audio for ALE and data waveforms, PTT keying via CAT/serial",Freemium (free core; paid MIL-STD-188-110/data add-ons),Marketed as an easier-to-set-up ALE package; active development (ion2g.app).
JAERO,Data modes (ALE/MARS/marine/aero),SDR (Inmarsat aero decoder),Windows / Linux,"Demodulates/decodes Inmarsat AERO ACARS, ADS-C and CPDLC on L-band C-channels",SDR or audio from an L-band downconverter,Open-source,By Jonti
MARS-ALE,Data modes (ALE/MARS/marine/aero),ALE (Automatic Link Establishment),Windows,"MIL-STD-188-141A/FED-STD-1045A ALE controller with sounding, scanning, LQA and messaging tailored for MARS/CFARS/SHARES nets","CAT rig control (frequency/mode/scan), sound-card audio in/out for ALE tones, PTT keying via CAT/RTS/DTR",Free (restricted to licensed MARS/CFARS/SHARES/gov members),By Steve Hajducek N2CKH; the MARS-oriented sibling of PC-ALE. Distributed through the n2ckh.com MARS-ALE forum.
MS-DMT (MIL-STD Data Modem Terminal),Data modes (ALE/MARS/marine/aero),MARS / HF data modem,Windows,Serial-tone data-modem terminal implementing MIL-STD-188-110A and FED-STD-1052 waveforms (75-2400 bps) for MARS point-to-point and broadcast nets,"Sound-card audio in/out for serial-tone waveforms, CAT rig control, PTT keying via CAT/serial",Free (MARS community),By N2CKH; companion to MARS-ALE for follow-on messaging and DLP file transfer.
PC-ALE (PCALE),Data modes (ALE/MARS/marine/aero),ALE (Automatic Link Establishment),Windows,Software ALE controller emulating MIL-STD-188-141A / FED-STD-1045A for amateur HF ALE networks and channel scanning,"CAT rig control for scan/tune, sound-card audio in/out for 8-FSK ALE tones, PTT via CAT/serial",Free (donationware),Originally by Charles Brain G4GUO; the first widely available PC ALE controller (2000). Distributed by HFLINK (hflink.com).
PC-HFDL,Data modes (ALE/MARS/marine/aero),Aeronautical HF data decoder,Windows,Decodes HFDL (HF ACARS / ARINC-635) aircraft data-link messages,Sound-card audio in from an HF SSB receiver,Shareware,"By Charles Brain G4GUO; the classic dedicated HFDL decoder (5-minute demo, ~$35)."
PlanePlotter,Data modes (ALE/MARS/marine/aero),SDR (ADS-B/ACARS),Windows,Decode and plot ADS-B/Mode-S and ACARS aircraft on a map,SDR or hardware receiver via audio/serial/network,Commercial,COAA
rtl-ais,Data modes (ALE/MARS/marine/aero),SDR (marine AIS),Linux / Windows / macOS,Lightweight command-line AIS decoder (both channels),RTL-SDR,Open-source,Classic RTL-SDR AIS utility
ShipPlotter,Data modes (ALE/MARS/marine/aero),SDR (marine AIS),Windows,Receive and plot AIS traffic on charts,sound card or serial/USB AIS receiver,Commercial (trial),COAA
Sigmira,Data modes (ALE/MARS/marine/aero),HF data / multimode decoder,Windows,"SDR/receiver decoder for PSK31, RTTY, CW, STANAG-4285, HFDL, MIL-STD-188-141A (M141 ALE), FSK, and Japanese Slot Machine","Sound-card audio in from a conventional receiver, or direct control of RTL-SDR / RFSpace / SDRplay SDR hardware",Free,By Steve Harlow. Receive/decode focused (incl. ALE monitoring); can drive several SDR front-ends directly.
TIVAR,Data modes (ALE/MARS/marine/aero),MARS / HF data modem,Windows,Data-modem terminal for MIL-STD-188-110 / STANAG serial-tone waveforms; also used to decode Shortwave Radiogram (MFSK/data) broadcasts,Sound-card audio in/out for data waveforms; used with an SSB HF radio,Free,Used in MARS/utility circles and by SW Radiogram listeners; sound-card based.
VARA FM,Data modes (ALE/MARS/marine/aero),HF/VHF data modem,Windows,Sound-card FM data modem (9600-bps-class) for Winlink over VHF/UHF FM radios,Sound-card audio in/out through an FM transceiver; PTT via CAT/serial/VOX,Donationware (free reduced-speed; paid full-speed key),EA5HVK's FM counterpart to VARA HF; used for fast Winlink FM email.
VarAC,Data modes (ALE/MARS/marine/aero),HF data / keyboard chat,Windows / Linux / macOS,"Keyboard-to-keyboard HF chat, beaconing, file/position exchange and short messaging over the VARA modem",Drives the VARA HF/FM soundcard modem; CAT rig control and PTT via Hamlib/serial,Free (donationware),Fast-growing modern HF data app built on top of VARA HF.
WINMOR,Data modes (ALE/MARS/marine/aero),HF data modem,Windows,Legacy sound-card HF virtual-TNC modem for Winlink radio email,Sound-card audio in/out; PTT keying via CAT/serial,Free (deprecated),By Rick Muething KN6KB; retired in favor of ARDOP/VARA but still seen on older stations.
YaDD (Yet Another DSC Decoder),Data modes (ALE/MARS/marine/aero),Marine data decoder (DSC/GMDSS),Windows,Decodes GMDSS Digital Selective Calling (DSC) distress/routine traffic and logs MMSIs,Sound-card audio in from an MF/HF/VHF receiver on DSC calling channels,Free,Companion to YaND; widely used for DSC monitoring.
YaND,Data modes (ALE/MARS/marine/aero),NAVTEX,Windows,'Yet Another NAVTEX Decoder' – decodes 518/490 kHz NAVTEX maritime safety broadcasts from the sound card.,Sound-card audio input; receive-only.,Free (freeware),Focused on NAVTEX (SITOR-B FEC); commonly grouped with fax/WEFAX listening tools.
YaND (Yet Another NAVTEX Decoder),Data modes (ALE/MARS/marine/aero),Marine data decoder (NAVTEX),Windows,Decodes and logs 518/490 kHz NAVTEX broadcasts with station identification,Sound-card audio in from an MF/HF receiver tuned to NAVTEX channels,Free,By Dirk Claessens; the standard hobby NAVTEX decoder (ndblist.info).
Allmon3,Digital voice / Hotspot,Digital voice/Hotspot (AllStarLink dashboard),Linux,Modern web dashboard for monitoring and controlling AllStarLink nodes,controls app_rpt/Asterisk nodes (which key radios),Open-source,Successor to the listed Allmon2/Supermon
AllStarLink (app_rpt / Asterisk),Digital voice / Hotspot,Digital voice/Hotspot,Linux / Raspberry Pi,Asterisk-based repeater/node linking network (VoIP) with EchoLink/IRLP bridging,USB CM108 sound fob (or URI/DINAH/repeater interface) for radio audio + COS/PTT keying,Open-source (GPL),WB6NIL origin; the app_rpt engine.
ambed,Digital voice / Hotspot,Digital voice/Hotspot,Linux,AMBE transcoding server for XLX/URF reflectors (D-STAR AMBE ↔ DMR AMBE),Uses AMBE3000 hardware (DVstick/ThumbDV farms) to transcode radios' DV audio between modes,Open-source,Required for cross-mode transcoding on XLX.
AMBEServer,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Raspberry Pi,Serves a hardware AMBE (DV3000/ThumbDV) dongle over the network to DV clients/bridges,Exposes the hardware AMBE vocoder used to encode/decode radio DV audio,Open-source,"Used by DVSwitch, DUDE-Star, etc."
Analog_Bridge,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Raspberry Pi,Converts analog (AllStar/EchoLink) audio to/from digital vocoded streams,AMBE transcoding between analog radio audio and DV networks,Open-source,DVSwitch component.
APRSGateway,Digital voice / Hotspot,Digital voice/Hotspot,Linux / Windows / Raspberry Pi,Aggregates APRS/position data from a hotspot's DV modes to APRS-IS,Passes GPS/APRS frames embedded in the radio's DV traffic,Open-source (GPL),G4KLX; part of MMDVM suite.
ASL3 (AllStarLink v3),Digital voice / Hotspot,Digital voice/Hotspot,Linux (Debian) / Raspberry Pi,Current AllStarLink release packaged as Debian apt packages on modern Asterisk,Same CM108/URI audio + PTT/COS keying of node radios,Open-source (GPL),Modernized AllStar distribution.
BlueDV AMBE / BlueDV Server,Digital voice / Hotspot,Digital voice/Hotspot,Windows / Linux,Helper that serves an AMBE hardware dongle to BlueDV clients,Exposes the AMBE3000 hardware vocoder over the network,Free (donationware),PA7LIM.
BlueDV for Android,Digital voice / Hotspot,Digital voice/Hotspot,Android,Mobile DMR/D-STAR/Fusion client using a Bluetooth AMBE dongle or network,"Bluetooth/USB AMBE dongle for hardware vocoding, or network-only into DV reflectors",Free (donationware),PA7LIM.
BlueDV for Windows,Digital voice / Hotspot,Digital voice/Hotspot,Windows,"Desktop DMR/D-STAR/Fusion client with dashboard, driving a DVMega/MMDVM modem or an AMBE dongle",Serial to a DVMega/BlueStack modem (RF) or an AMBE3000 dongle (ThumbDV/DVstick) for vocoding + PC audio,"Free (donationware, closed source)",David PA7LIM. Popular for DVMega and ThumbDV setups.
BrandMeister server (bmaster),Digital voice / Hotspot,Digital voice/Hotspot,Linux,Master server software behind the BrandMeister DMR network,Routes DMR traffic/talkgroups for connected hotspots and repeaters,Mixed (partly closed),Operated by the BrandMeister team.
Buster,Digital voice / Hotspot,Digital voice/Hotspot,macOS,Native macOS D-STAR client to work reflectors/gateways,Uses a ThumbDV/DVstick hardware AMBE vocoder + Mac audio into the D-STAR network,Free / Open-source,Jeremy McDermond NH6Z.
