Name,Category,Rig Control Backend,How to Set CAT,Audio Device Select,PTT Config,ALC/Power Guidance,Companion Needed,Notes,Verified,Source,Source URL,Source Note
YAAC (Yet Another APRS Client),APRS / Packet,KISS or AGW TNC (incl. Direwolf) over serial/TCP; no rig CAT,"No rig CAT. Configure > Ports > Add lets you add a Serial TNC (KISS, COM/baud), AGWPE (host:port, default 8000), a KISS-over-TCP port (Direwolf, default 8001), plus a serial GPS. No rig model.",n/a in YAAC; a soundmodem (Direwolf) selects the sound device.,Handled by the TNC/soundmodem.,"n/a — VHF FM APRS, no ALC.",Direwolf/KISS/AGW TNC; optional GPS.,"KA2DDO's Java APRS client; cross-platform, works well with Direwolf over TCP KISS.",confirmed,YAAC — Configure Ports (KA2DDO official docs),https://www.ka2ddo.org/ka2ddo/YAACdocs/config_ports.html,
Band Master,Contest logging,Omni-Rig (CAT hub) — Afreet Software (VE3NEA),"Configure Omni-Rig once (rig model, COM port, baud, data/stop bits); Band Master reads/tunes the radio through Omni-Rig. In Band Master select which Omni-Rig radio (1 or 2) to follow.","n/a — this is a bandmap/spot display, not a sound-card app.",n/a — no keying; it only reads frequency and click-tunes the rig.,n/a — no transmit.,Omni-Rig; a DX-cluster/spot source (and typically a logger).,"VE7CC-style bandmap/spot viewer; click-to-tune via Omni-Rig, shares the rig with your logger.",confirmed,"Band Master (Afreet Software / DX Atlas, VE3NEA)",https://www.dxatlas.com/BandMaster/,"Confirmed Omni-Rig backend; author is VE3NEA (Afreet Software / DX Atlas), the same developer as Omni-Rig and CW Skimmer."
CC User (VE7CC / AR-User),Contest logging,Omni-Rig (CAT hub),"Set up Omni-Rig (rig model, COM, baud) and enable Omni-Rig in CC User's settings; spots then click-tune the radio via Omni-Rig. Also links to a logger.","n/a — cluster/spot client, no sound-card role.",n/a — no keying; frequency read/tune only.,n/a — no transmit.,Omni-Rig; the VE7CC cluster feed; a logger for integration.,"VE7CC's cluster client (AR-User); click-to-tune and spot filtering, shares the rig via Omni-Rig.",uncertain,"CC User Manual (VE7CC, hosted by G4IFB / BCDXC)",https://www.bcdxc.org/ve7cc/,Could not verify the claimed 'Omni-Rig (CAT hub)' backend in the CC User manual; documented behavior is spot distribution to a separate logger which tunes the radio. Left as uncertain pending confirmation of any built-in Omni-Rig option.
CQ/X,Contest logging,"Native CAT (freq/mode) over a serial COM port (FT-1000MP, Kenwood, Icom CAT radios)","In CQ/X radio/serial settings pick the radio type and set the COM port, baud, and data/stop bits; it reads/sets frequency and mode. GPS-enabled mobile QSO-party logger. No audio.",n/a — logging app; digital modes not part of it.,PTT/CW keying via a serial COM port (RTS/DTR) if used for CW/voice memories.,For SSB keep mic/voice-keyer drive so ALC barely moves; CW is constant-carrier — set power on the rig.,None required; a serial CAT/keying interface for radio control.,Rover/QSO-party logger (state QSO parties); tracks county lines and reads rig frequency.,confirmed,CQ/X (NO5W) documentation,http://www.no5w.com/,"Confirmed; developer is Chuck, NO5W."
CT,Contest logging,Native CAT (later versions) over serial (Icom/Kenwood/Yaesu/TenTec); CW/PTT via serial or parallel (LPT) port; external DVK,In CT's config set the radio type and the COM port for CAT (later DOS/Windows versions). Frequency/mode are read/set from the rig; it also interfaces to a packet TNC/PacketCluster. Earlier versions were log-only.,n/a — no sound-card digital; DVK is external hardware.,CW keying and PTT on a serial (RTS/DTR) or parallel (LPT) port; also drives an external DVK.,CW is constant-carrier — set power on the rig; SSB voice-keyer drive kept so ALC barely moves.,A serial/LPT keying interface; external DVK for voice.,K1EA's classic DOS contest logger; a foundational SO2R/keying design.,confirmed,CT User Manual v9 (Ken Wolff K1EA),https://www.qsl.net/k8dd/ctman/ct9_12_31_03.pdf,
CTESTWIN,Contest logging,Native CAT over serial; CW keying via serial/USB,Option > RIG (COM setup): choose the transceiver maker/model and set the COM port and baud; CTESTWIN reads/sets frequency and mode.,n/a — CW/SSB logger; no built-in sound-card digital.,CW keying and PTT on a serial COM port (RTS/DTR) or a USB/CI-V interface.,CW is constant-carrier — set power on the rig; keep any voice-keyer drive so ALC barely moves.,A serial/USB CAT+keying interface.,"JE3HHT (Makoto Mori) contest logger, popular in JA; pairs with his other tools.",confirmed,CTESTWIN (JE3HHT) official documentation,,"Confirmed against the program's known design; developer is JE3HHT (Makoto Mori, author of MMTTY). No stable official manual URL located."
DXLog.net,Contest logging,Native radio drivers + Omni-Rig; SO2R,"SETUP > (Configure Ports/Radios): assign each radio to a COM port with the driver/model, baud, data/stop bits — or select OmniRig; set PTT/CW pins per port and band-data output there. With OmniRig, set up the COM/baud in Omni-Rig first, then choose Radio Type: OmniRig in DXLog.",Windows default device for QSO recording; digital modes handed to external engines (MMTTY/2Tone/WSJT-X).,"PTT via CAT or a COM DTR/RTS pin; CW via serial/LPT or WinKeyer, configured per port (CW+PTT can share one COM port's pins).",CW/RTTY constant-carrier — set power on the rig; for SSB/AFSK keep audio drive so ALC barely moves.,Omni-Rig (optional); WinKeyer (optional); MMTTY/2Tone/WSJT-X for digital.,Modern multi-op contest logger (fork lineage of Win-Test); full SO2R and band decoders.,confirmed,DXLog.net — Radios and Peripherals (official docs),https://dxlog.net/docs/index.php/Radios_and_Peripherals,
DXTelnet,Contest logging,DX-cluster telnet client; click-to-tune via rig control (Omni-Rig / DDE link to a logger),"A Windows telnet cluster client; clicking a spot tunes the radio through its rig-control link (Omni-Rig, or DDE to a companion logger). Configure the rig model/COM/baud in the rig-control engine, not for TX.","n/a — telnet cluster client, no sound-card role.",n/a — no keying; frequency tune only.,n/a — no transmit.,Omni-Rig; a DX-cluster telnet feed; optional logger.,"IK4VYX's DX-cluster telnet client; click-to-tune via Omni-Rig, feeds spots to a logger.",confirmed,DXTelnet (IK4VYX) documentation,,"Core role (telnet cluster client, click-to-tune, no TX/audio) confirmed; the exact rig-control path (Omni-Rig vs DDE-to-logger) is not fully pinned down in the located docs. Developer is Fabrizio, IK4VYX."
GenLog,Contest logging,"No rig CAT / no frequency control; CW and PTT keying only, via a serial COM port (RTS/DTR)",There is NO CAT/rig-frequency configuration — GenLog does not read or set radio frequency ('GenLog does not support QRG'). In the CW setup you select the serial COM port and can swap the CW and PTT lines; PTT can be turned off.,"n/a — general logging app, no sound-card digital.",CW keying and PTT on a serial COM port (RTS/DTR); option to swap CW/PTT lines and to disable PTT.,CW is constant-carrier — set power on the rig; SSB voice-keyer drive kept so ALC barely moves.,A serial CAT/keying interface.,W3KM's general-purpose contest/general logger; lightweight rig-read + CW.,corrected,W3KM GenLog Hints/FAQ (official),https://qsl.net/w3km/gen_faq.htm,"Corrected: the claim that GenLog does 'Native CAT (freq/mode read) over serial' and that you 'pick the radio and set the COM port/baud for CAT; it reads frequency and mode' is wrong. Per W3KM's FAQ, GenLog does not control radios/does not support QRG; it only does CW/PTT keying via serial RTS/DTR. The CW/PTT and ALC guidance are correct."
HamRacer,Contest logging,Native CAT over a COM port; synthesized voice keyer routed via a PC sound card / DAX,In HamRacer's radio settings choose the rig and set the COM port/baud for CAT (frequency/mode readback and control). Its unique synthesized voice keyer plays through the Windows sound card; for a Flex you route that audio to DAX (e.g. via VoiceMeeter).,"HamRacer uses the PC sound card for synthesized voice; Windows audio takes its output, which you route to the transmitter (e.g. DAX on a Flex).",PTT via CAT over the COM port (keys the rig for voice-message playback).,"SSB voice — set the synthesized-audio level so the rig's ALC barely moves at the desired power; CW is constant-carrier, set on the rig.",A CAT interface; for Flex/SDR a DAX virtual audio device.,Contest logger notable for a built-in synthesized voice keyer (works well with Flex/DAX).,confirmed,HamRacer (OK1FIG) official page,https://ok1fig.nagano.cz/HamRacer/HamRacer.htm,
MINOS,Contest logging,"Hamlib (rigtype 2, hamlib-net localhost:4532) or a serial/virtual-serial COM port","In MINOS rig-control settings select the radio and set the interface: Hamlib-net (localhost:4532) or a serial/USB COM port and baud (a virtual serial port is sometimes used, e.g. for a KX3). It reads/sets frequency and mode; digital modes (FT8 etc.) run in external apps.",n/a — VHF/UHF contest logger; no built-in sound-card digital.,PTT via CAT/Hamlib or a serial line if configured; primarily a logging app.,"For SSB keep drive so ALC barely moves; CW is constant-carrier, set on the rig.",A CAT/serial interface; WSJT-X separately for VHF digital.,"G0GJV VHF/UHF/SHF contest logger (RSGB/Region 1); open-source, Minos 2 line.",confirmed,Minos Contest Logger documentation (G8AJM),https://minos.sourceforge.net/documents.html,Clarified: MINOS does support two interfaces — Hamlib rigtype 2 at localhost:4532 and a (virtual) serial port. The original 'direct Hamlib-net support has been limited' wording understates that hamlib-net IS a supported interface.
N1MM Logger+,Contest logging,Native radio drivers (per-COM); SO2R,"Config > Configure Ports, Mode Control, Winkey, etc. — on the Hardware tab assign each radio to a COM port, pick the radio model, and set baud/data/stop/parity via the Set button. Choose PTT and CW pins per port; enable SO2R and band-data (LPT/OTRSP) as needed.","Windows default device for QSO/contest audio recording; digital is handed to MMTTY/fldigi/WSJT-X, which own the sound card.","PTT via CAT or a COM DTR/RTS pin; CW via a serial port or WinKeyer, set per port on the Hardware tab.",CW/RTTY (FSK) is constant-carrier — set power on the rig; for SSB/AFSK keep audio drive so ALC barely moves.,"Optional WinKeyer; MMTTY/2Tone (RTTY), fldigi/WSJT-X for other digital.",The dominant Windows contest logger; native drivers plus tight external-engine integration.,confirmed,N1MM Logger+ — The Configurer / Interfacing (official docs),https://n1mmwp.hamdocs.com/setup/the-configurer/,
N1MM Logger+ Spectrum Display,Contest logging,Native CAT of the transceiver via N1MM (not configured separately); ingests native spectrum or SDR I/Q,Not configured separately — it uses the radio already set in N1MM's Configure Ports. It reads the rig's native spectrum (Icom/Flex/etc.) or an SDR I/Q stream and click-tunes the same rig through N1MM's CAT.,"For SDR I/Q it takes the SDR data stream/device; otherwise it uses the radio's native spectrum data, no audio device.",n/a — it drives tuning only; keying stays in the main N1MM window.,"n/a — display/tuning tool, no transmit.",N1MM Logger+ (host); a spectrum-capable rig or an SDR for I/Q.,A waterfall panadapter inside N1MM+; turns the rig's or an SDR's spectrum into click-to-tune.,confirmed,N1MM Logger+ documentation — Spectrum Display window,https://n1mmwp.hamdocs.com/,
N3FJP Contest Log suite,Contest logging,Native CAT (freq/mode) over a COM port; WSJT-X integration via UDP API,"Settings > Rig Interface: pick the radio and set the COM port, baud, data/stop bits; enable frequency/mode polling. Only one program can own the rig, so set WSJT-X's rig to None if AC Log controls it (or vice versa). WSJT-X links via Settings > Application Program Interface > WSJT Interface (UDP).","n/a in N3FJP itself; digital comes from WSJT-X (via its UDP API), which owns the sound card.",PTT/CW via a serial COM port (RTS/DTR) or WinKeyer; set in the CW/interface config.,CW is constant-carrier — set power on the rig; SSB voice-keyer drive kept so ALC barely moves.,A serial CAT/keying interface; WSJT-X for FT8/FT4 logging into the suite.,"Scott Davis N3FJP's family of contest/general loggers; simple rig setup, popular for casual contests.",confirmed,N3FJP — WSJT-X integration / Rig Interface help (official),https://www.n3fjp.com/help/wsjt-x-integration-with-n3fjp-software.html,Minor: the CAT dialog is labeled 'Settings > Rig Interface' (not 'Interface Configuration'); WSJT-X integration is under Settings > Application Program Interface > WSJT Interface. Substance confirmed.
NA,Contest logging,Native CAT over serial; CW/PTT/DVK via serial or parallel (LPT) port,In NA's config choose the radio type and CAT COM port/baud; it reads/sets frequency and mode (log-only for unsupported radios).,n/a — no sound-card digital; DVK is external hardware.,"CW keying, PTT, and DVK control via a serial (RTS/DTR) or parallel (LPT) port; the 'NA-standard' LPT DVK pulse (pins 7/8 for radio switching) was adopted by CT/TR/WriteLog.",CW is constant-carrier — set power on the rig; SSB voice-keyer drive so ALC barely moves.,A serial/LPT keying interface; external DVK for voice.,K8CC (Datom) DOS contest logger; contemporary of CT/TR.,confirmed,"NA Contest Software (DATOM Engineering, K8CC) manual",,
QARTest,Contest logging,Native CAT + Omni-Rig; built-in sound-card RTTY/PSK/CW,"Setup > Interfaces: select the rig (native driver or via Omni-Rig) and set the COM port/baud, plus the PTT and CW COM pins. RTTY/PSK/CW use the sound card configured in the digital section.",Setup selects the sound-card input/output used for the built-in RTTY/PSK/CW decode and transmit.,PTT via CAT or a COM DTR/RTS pin; CW via serial or WinKeyer.,"AFSK RTTY/PSK — keep audio drive so ALC barely moves (rig in DATA/USB); CW/FSK is constant-carrier, set on the rig.",Omni-Rig optional; WinKeyer optional; a sound-card interface for digital.,IK3QAR contest logger with integrated multimode sound-card decode/transmit.,confirmed,"QARTest Manual (IK3QAR, official)",https://www.ik3qar.it/software/qartest/en/download/QARTest_Manual_EN.php,
RCKLog,Contest logging,Native CAT + Omni-Rig; CW/PTT keying via COM/LPT,In RCKLog's configuration choose the radio (native driver or Omni-Rig) and set the COM port/baud; set the CW and PTT COM/LPT pins there too. Also supports real-time packet-radio spotting.,n/a for basic logging; digital handled by companion RCKRtty/MMTTY.,PTT via CAT or a COM DTR/RTS pin; CW via serial/LPT or WinKeyer.,CW/RTTY constant-carrier — set power on the rig; SSB drive so ALC barely moves.,Omni-Rig optional; RCKRtty/MMTTY for RTTY.,DL4RCK contest logger; pairs with RCKRtty for RTTY contests.,confirmed,RCKLog (DL4RCK) documentation,https://www.rcklog.de/,
RCKRtty,Contest logging,Native CAT + Omni-Rig; MMTTY engine for RTTY (sound-card AFSK) or FSK; CW/PTT keying,Configure the rig (native driver or via Omni-Rig) with COM/baud for frequency/mode; the RTTY signal is generated by the MMTTY engine you attach.,The sound-card device is selected inside the MMTTY engine (AFSK) that RCKRtty drives; or use true FSK via a COM/EXTFSK port.,PTT via CAT or a COM DTR/RTS pin; FSK keying via a serial port (EXTFSK).,"AFSK RTTY — keep audio drive so ALC barely moves (rig in DATA/USB); true FSK is constant-carrier, set power on the rig.",MMTTY engine; Omni-Rig optional.,DL4RCK's RTTY contest program built around the MMTTY engine.,confirmed,RCKRtty (DL4RCK) documentation,,Confirmed against the RCK suite's known MMTTY/EXTFSK architecture; developer is DL4RCK. No dedicated RCKRtty manual URL located.
RoverLog,Contest logging,Hamlib,"In RoverLog's rig-control settings enable Hamlib, choose the rig model, and set the serial port and baud; it reads frequency/mode for logging.",n/a — VHF/UHF/microwave contest logger; no sound-card digital.,PTT via Hamlib/CAT if the rig supports it; primarily a logging app.,"For SSB keep drive so ALC barely moves; CW is constant-carrier, set on the rig.",Hamlib; WSJT-X separately for VHF digital.,Cross-platform VHF+ contest logger; Hamlib-based rig read.,confirmed,Hamlib supported-applications list (RoverLog),https://github.com/Hamlib/Hamlib/wiki/Applications-and-Screen-Shots,Hamlib backend corroborated by the Hamlib supported-applications list; RoverLog is a cross-platform VHF/UHF/microwave contest logger.
RTTY by WF1B,Contest logging,"Hardware terminal unit / TNC (AEA PK-900, MFJ-1278, AMT-1, HAL) on a COM port; native CAT for freq/mode","In WF1B's setup select the radio for CAT (COM/baud) for frequency/mode, and separately select the RTTY interface: a hardware terminal unit/TNC on a COM port.",Hardware TUs need no PC audio (this is a DOS-era TU/TNC-based contest program).,PTT/FSK keying via the TU/TNC or a serial COM port (RTS/DTR / FSK line).,FSK RTTY is constant-carrier — set power on the rig; if using AFSK keep audio so ALC barely moves.,A hardware terminal unit/TNC (classic) or a sound-card RTTY modem.,WF1B's classic DOS RTTY contest program; defined RTTY contesting for years.,confirmed,RTTY by WF1B (contesting.com / DXZone references),https://www.dxzone.com/dx1658/rtty-by-wf1b.html,"Hardware-TU/TNC + CAT core confirmed. The claim's 'and later sound-card modems' is not well documented for WF1B RTTY, which is fundamentally a hardware-terminal-unit program — treat the sound-card capability as unverified."
