Manufacturer,Model,Type,Bands,Connection Method,CAT Protocol,Baud,Data Bits,Stop Bits,Parity,Flow Control,CI-V Address,Built-in Sound Card,Recommended Interface,PTT Method,Radio Menu Settings,Cable/Port,Notes,Verified,Source,Source URL,Source Note
Alinco,DJ-S45 / DJ-S45T,UHF handheld,70cm,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco HT audio cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (model-specific),70cm FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-V17 / DJ-V17T,VHF handheld,2m,Program channels with CHIRP over the ERW-series/USB cable; for FM digital attach a Digirig Mobile to the spkr-mic jack. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt); CHIRP programming cable,VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),Rugged 2m FM HT; CHIRP-supported. No CAT rig control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-V27 / DJ-V27T,1.25m handheld,222 MHz (1.25m),For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),222 MHz (1.25m) FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-V47 / DJ-V47T,UHF handheld,70cm,Program channels with CHIRP over the ERW-series/USB cable; for FM digital attach a Digirig Mobile to the spkr-mic jack. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt); CHIRP programming cable,VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),70cm FM HT; CHIRP-supported. No CAT rig control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-V5 / DJ-V5T,VHF/UHF handheld,2m/70cm,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),2m/70cm FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-V57 / DJ-V57T,VHF/UHF handheld,2m/70cm,For FM digital attach a Digirig Mobile to the spkr-mic jack; channels set from the keypad. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco 2-pin HT cable (SignaLink alt),VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (2-pin),2m/70cm FM HT; no serial CAT. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-VX11,VHF/UHF handheld,2m/70cm,Program channels with CHIRP over the USB programming cable; for FM digital attach a Digirig Mobile to the spkr-mic jack. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco/Kenwood 2-pin HT cable (SignaLink alt); CHIRP USB cable,VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (Kenwood 2-pin),Current 2m/70cm FM HT; CHIRP-supported. No CAT rig control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-VX50 / DJ-VX50T,VHF/UHF handheld,2m/70cm,Program channels with CHIRP over the USB programming cable; for FM digital attach a Digirig Mobile to the spkr-mic jack. No CAT - set frequency manually.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco/Kenwood 2-pin HT cable (SignaLink alt); CHIRP USB cable,VOX or Digirig RTS/DTR keying (or manual PTT),Set freq/offset/CTCSS manually; no CAT/baud.,Speaker/mic jack (Kenwood 2-pin),Current waterproof 2m/70cm FM HT; CHIRP-supported. No CAT rig control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-X1 / DJ-X01,Wideband handheld receiver,0.1-1300 MHz,Set/scan frequencies from the keypad; load memory channels via Alinco clone software over the model's data/clone cable. Receive-only - no CAT rig control.,none,n/a,n/a,n/a,n/a,None,n/a,No,Alinco clone cable + PC clone software (audio decode via the earphone jack into a soundcard),n/a (receive only),Tune/scan manually or load memories via clone software.,"Earphone/clone jack (3.5mm, model-specific)",Wideband scanner receiver 0.1-1300 MHz. RX only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-X10,Wideband handheld receiver,0.1-2000 MHz,Load memory channels via Alinco clone software over the data/clone cable; tune/scan from the keypad. Receive-only - no CAT rig control.,none,n/a,n/a,n/a,n/a,None,n/a,No,Alinco clone cable + PC clone software (audio decode via earphone jack into a soundcard),n/a (receive only),Tune/scan manually or load memories via clone software.,"Earphone/clone jack (3.5mm, model-specific)",Wideband scanner receiver 0.1-2000 MHz. RX only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-X100 / DJ-X100T / DJ-X100E,Digital wideband handheld receiver,0.03-470 MHz,Connect via the built-in USB-C port and use the Alinco DJ-X100 PC software for memory/firmware; tuning is by keypad. Receive-only - no CAT rig control.,none,n/a,n/a,n/a,n/a,None,n/a,No,Direct USB-C to PC + Alinco DJ-X100 software (no external interface),n/a (receive only),Tune/scan and decode digital modes on-radio; manage memories via USB software.,USB-C (built-in),Current digital wideband receiver (0.03-470 MHz) with on-board digital-voice decode. RX only; direct USB-C is the easy PC link.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-X11 / DJ-X11T / DJ-X11E,Wideband handheld receiver,0.05-1300 MHz,Program memories and remote-control via the Alinco clone/CAT cable + PC software (this model supports serial remote control); tune from the keypad. Receive-only.,"none (Alinco clone/remote serial, RX only)","9600 (Alinco clone/remote, if used)",8,1,None,None,n/a,No,Alinco ERW-series clone/remote cable + PC software (audio decode via earphone jack into a soundcard),n/a (receive only),Tune/scan manually; enable remote/clone mode for PC control.,"Clone/remote jack (3.5mm, model-specific)",Wideband scanner receiver 0.05-1300 MHz with serial remote-control support. RX only; baud is approximate - confirm in manual.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-X20,Wideband handheld receiver,0.1-1300 MHz,Load memory channels via Alinco clone software over the data/clone cable; tune/scan from the keypad. Receive-only - no CAT rig control.,none,n/a,n/a,n/a,n/a,None,n/a,No,Alinco clone cable + PC clone software (audio decode via earphone jack into a soundcard),n/a (receive only),Tune/scan manually or load memories via clone software.,"Earphone/clone jack (3.5mm, model-specific)",Wideband scanner receiver 0.1-1300 MHz. RX only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-X2000,Wideband handheld receiver,0.1-2150 MHz,Load/manage memories and use the serial remote via the Alinco clone/CAT cable + PC software; tune from the keypad. Receive-only.,"none (Alinco clone/remote serial, RX only)","9600 (Alinco clone/remote, if used)",8,1,None,None,n/a,No,Alinco ERW-series clone/remote cable + PC software (audio/discriminator via earphone jack into a soundcard),n/a (receive only),Tune/scan manually; enable clone/remote mode for PC control.,"Clone/remote jack (3.5mm, model-specific)",Flagship wideband receiver 0.1-2150 MHz with analyzer/serial remote. RX only; baud approximate - confirm in manual.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-X3 / DJ-X3E / DJ-X3S,Wideband handheld receiver,0.1-1300 MHz,Load memory channels via Alinco clone software over the data/clone cable; tune/scan from the keypad. Receive-only - no CAT rig control.,none,n/a,n/a,n/a,n/a,None,n/a,No,Alinco clone cable + PC clone software (audio decode via earphone jack into a soundcard),n/a (receive only),Tune/scan manually or load memories via clone software.,"Earphone/clone jack (3.5mm, model-specific)",Compact wideband scanner receiver 0.1-1300 MHz. RX only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-X30 / DJ-X30E / DJ-X30T,Wideband handheld receiver,0.1-1300 MHz,Load memory channels via Alinco clone software over the data/clone cable; tune/scan from the keypad. Receive-only - no CAT rig control.,none,n/a,n/a,n/a,n/a,None,n/a,No,Alinco clone cable + PC clone software (audio decode via earphone jack into a soundcard),n/a (receive only),Tune/scan manually or load memories via clone software.,"Earphone/clone jack (3.5mm, model-specific)",Wideband scanner receiver 0.1-1300 MHz. RX only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-X5,Wideband handheld receiver,0.1-1300 MHz,Load memory channels via Alinco clone software over the data/clone cable; tune/scan from the keypad. Receive-only - no CAT rig control.,none,n/a,n/a,n/a,n/a,None,n/a,No,Alinco clone cable + PC clone software (audio decode via earphone jack into a soundcard),n/a (receive only),Tune/scan manually or load memories via clone software.,"Earphone/clone jack (3.5mm, model-specific)",Wideband scanner receiver 0.1-1300 MHz. RX only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-X7,Wideband handheld receiver,0.1-1300 MHz,Load memory channels via Alinco clone software over the data/clone cable; tune/scan from the keypad. Receive-only - no CAT rig control.,none,n/a,n/a,n/a,n/a,None,n/a,No,Alinco clone cable + PC clone software (audio decode via earphone jack into a soundcard),n/a (receive only),Tune/scan manually or load memories via clone software.,"Earphone/clone jack (3.5mm, model-specific)",Ultra-compact wideband scanner receiver 0.1-1300 MHz. RX only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-X8,Wideband handheld receiver,0.1-1300 MHz,Load memory channels via Alinco clone software over the data/clone cable; tune/scan from the keypad. Receive-only - no CAT rig control.,none,n/a,n/a,n/a,n/a,None,n/a,No,Alinco clone cable + PC clone software (audio/discriminator via earphone jack into a soundcard),n/a (receive only),Tune/scan manually or load memories via clone software.,"Earphone/clone jack (3.5mm, model-specific)",Wideband scanner receiver 0.1-1300 MHz with discriminator output option. RX only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DJ-X81 / DJ-X82,Compact receiver,LW/MW/SW + FM/air/VHF,"Tune with the keypad/dial; no PC control. For decoding, feed the earphone output into a soundcard. Receive-only.",none,n/a,n/a,n/a,n/a,None,n/a,No,None for control; soundcard on the earphone jack for audio decode,n/a (receive only),Tune manually; no CAT/clone control.,Earphone jack (3.5mm),Compact LW/MW/SW + FM/air/VHF receiver. RX only; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DR-03T / DR-M03,10m FM mobile,10m (29 MHz),No CAT/serial - set frequency manually. For FM digital attach a Digirig Mobile to the mic jack; key via VOX or the interface PTT line.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco modular mic-jack cable (SignaLink alt),VOX or Digirig RTS keying (mic PTT line),Frequency/offset/tone set on the radio; no CAT/baud.,Front mic jack (modular) + ext-speaker jack,10m (29 MHz) FM mobile; no computer control. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DR-06T / DR-M06 / DR-M06T,6m FM mobile,6m,No CAT/serial - set frequency manually. For FM digital attach a Digirig Mobile to the mic jack; key via VOX or the interface PTT line.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco modular mic-jack cable (SignaLink alt),VOX or Digirig RTS keying (mic PTT line),Frequency/offset/tone set on the radio; no CAT/baud.,Front mic jack (modular) + ext-speaker jack,6m FM mobile; no computer control. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DR-110 / DR-110T,VHF FM mobile,2m,No CAT/serial - set frequency manually. For FM digital attach a Digirig Mobile to the mic jack; key via VOX or the interface PTT line.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco modular mic-jack cable (SignaLink alt),VOX or Digirig RTS keying (mic PTT line),Frequency/offset/tone set on the radio; no CAT/baud.,Front mic jack (modular) + ext-speaker jack,Classic 2m FM mobile; no computer control. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DR-112 / DR-112T,VHF FM mobile,2m,No CAT/serial - set frequency manually. For FM digital attach a Digirig Mobile to the mic jack; key via VOX or the interface PTT line.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco modular mic-jack cable (SignaLink alt),VOX or Digirig RTS keying (mic PTT line),Frequency/offset/tone set on the radio; no CAT/baud.,Front mic jack (modular) + ext-speaker jack,2m FM mobile; no computer control. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DR-120HX / DR-420HX,VHF / UHF FM mobile,2m / 70cm,No CAT/serial - set frequency manually. For FM digital attach a Digirig Mobile to the mic jack; key via VOX or the interface PTT line.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco modular mic-jack cable (SignaLink alt),VOX or Digirig RTS keying (mic PTT line),Frequency/offset/tone set on the radio; no CAT/baud.,Front mic jack (modular) + ext-speaker jack,2m (120HX)/70cm (420HX) FM mobile; no computer control. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DR-130 / DR-130T,VHF FM mobile,2m,No CAT/serial - set frequency manually. For FM digital attach a Digirig Mobile to the mic jack; key via VOX or the interface PTT line.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco modular mic-jack cable (SignaLink alt),VOX or Digirig RTS keying (mic PTT line),Frequency/offset/tone set on the radio; no CAT/baud.,Front mic jack (modular) + ext-speaker jack,Popular rugged 2m FM mobile; no computer control. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DR-135 / DR-135T (MkII),VHF FM mobile,2m,No CAT rig control - set frequency manually. Best PC use is packet/APRS: attach a Digirig Mobile (or install the EJ-41U TNC) to the data/mic jack; key via VOX or the interface PTT line.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + Alinco mic/data cable (SignaLink alt); optional EJ-41U internal TNC,VOX or Digirig RTS keying (mic/data PTT line),Frequency/offset/tone set on the radio; no CAT/baud.,Front mic jack (modular); accepts EJ-41U TNC,2m FM mobile widely used for packet/APRS; no CAT rig control. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Alinco,DR-135T MkIII / DR-135E MkIII,VHF FM mobile,2m,No CAT rig control - set frequency manually. For packet/APRS/digital attach a Digirig Mobile to the rear mini-DIN data jack (or the mic jack); key via VOX or the interface PTT line.,none,n/a,n/a,n/a,n/a,None,n/a,No,Digirig Mobile + mini-DIN 6-pin data cable (SignaLink alt),VOX or Digirig RTS keying (data-jack PTT),Frequency/offset/tone set on the radio; no CAT/baud.,Rear 6-pin mini-DIN data jack + front mic jack,2m FM mobile with rear data port for 1200/9600 packet; no CAT rig control. Frequency set manually.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
